3268 Lobsigen	47.0282	7.2945
3270 Aarberg	47.0444	7.2758
3271 Radelfingen b. Aarberg	47.0215	7.2718
3272 Walperswil	47.0602	7.2296
3272 Epsach	47.0705	7.2217
3273 Kappelen	47.0602	7.2686
3274 Merzligen	47.0873	7.2538
3274 Bühl b. Aarberg	47.0708	7.2454
3274 Hermrigen	47.0817	7.2416
3282 Bargen BE	47.0375	7.2629
3283 Kallnach	47.0203	7.2355
3283 Niederried b. Kallnach	47.0112	7.2501
3292 Busswil BE	47.0997	7.3222
3293 Dotzigen	47.1217	7.3456
3294 Büren an der Aare	47.1398	7.3722
3294 Meienried	47.1387	7.3414
3295 Rüti b. Büren	47.1513	7.4113
3296 Arch	47.1653	7.4314
3297 Leuzigen	47.1746	7.4578
3298 Oberwil b. Büren	47.1307	7.4114
3360 Herzogenbuchsee	47.1879	7.7062
3362 Niederönz	47.1842	7.6906
3363 Oberönz	47.1779	7.6949
3365 Grasswil	47.1441	7.6701
3365 Seeberg	47.1559	7.6657
3366 Bollodingen	47.1662	7.7056
3366 Bettenhausen	47.1715	7.7157
3367 Ochlenberg	47.1495	7.736000000000001
3367 Thörigen	47.1731	7.7289
3368 Bleienbach	47.1849	7.7563
3372 Wanzwil	47.2003	7.6932
3373 Heimenhausen	47.208999999999996	7.6996
3373 Röthenbach Herzogenbuchsee	47.2064	7.6816
3374 Wangenried	47.2171	7.6556
3375 Inkwil	47.201	7.6712
3376 Graben	47.2153	7.7178
3376 Berken	47.2258	7.7059
3377 Walliswil b. Wangen	47.2288	7.6829
3380 Wangen an der Aare	47.232	7.6545
3380 Walliswil b. Niederbipp	47.2362	7.6953
3464 Schmidigen-Mühleweg	47.0943	7.7459
3475 Hermiswil	47.1422	7.683
3475 Riedtwil	47.1437	7.6982
3476 Oschwand	47.1408	7.7129
4536 Attiswil	47.2467	7.6135
4537 Wiedlisbach	47.2519	7.6461
4538 Oberbipp	47.2607	7.6636
4539 Farnern	47.2669	7.6178
4539 Rumisberg	47.2641	7.6403
4704 Niederbipp	47.2661	7.6946
4704 Wolfisberg	47.2748	7.6599
4900 Langenthal	47.2153	7.7961
4911 Schwarzhäusern	47.2517	7.7655
4912 Aarwangen	47.2385	7.7685
4913 Bannwil	47.233999999999995	7.731
4914 Roggwil BE	47.2412	7.8214
4916 Untersteckholz	47.2076	7.8445
4917 Busswil b. Melchnau	47.1876	7.8295
4917 Melchnau	47.1821	7.8513
4919 Reisiswil	47.1651	7.8463
4922 Bützberg	47.2141	7.7431
4922 Thunstetten	47.2027	7.7575
4923 Wynau	47.2557	7.8163
